lat,lon,date,month,cell_id
7.0,51.75,2020-10-22,10,1947
24.25,84.0,2020-09-25,9,18636
21.25,102.75,2020-07-22,7,15831
15.75,97.0,2020-11-19,11,10528
15.75,61.25,2020-02-16,2,10385
26.25,72.0,2020-12-02,12,20508
7.0,76.75,2020-11-06,11,2047
22.25,59.75,2020-07-02,7,16619
10.0,61.0,2020-09-24,9,4864
7.25,59.0,2020-07-08,7,2216
18.0,104.5,2020-04-08,4,12718
29.25,89.75,2020-10-18,10,23459
23.25,95.25,2020-03-30,3,17721
24.0,93.75,2020-04-24,4,18435
22.75,102.5,2020-07-08,7,17270
24.5,51.25,2020-11-01,11,18745
17.75,97.75,2020-05-20,5,12451
8.0,48.75,2020-06-29,6,2895
25.75,73.5,2020-01-16,1,20034
16.25,80.5,2020-02-12,2,10942
17.5,66.25,2020-01-21,1,12085
14.25,53.75,2020-01-27,1,8915
9.5,56.5,2020-11-13,11,4366
28.0,94.25,2020-11-03,11,22277
24.5,64.0,2020-10-26,10,18796
21.0,63.5,2020-01-21,1,15434
15.0,100.25,2020-01-29,1,9821
25.5,53.5,2020-04-12,4,19714
18.5,99.75,2020-07-25,7,13179
16.0,100.25,2020-05-01,5,10781
16.25,80.75,2020-06-26,6,10943
10.5,54.75,2020-03-04,3,5319
7.25,54.25,2020-09-23,9,2197
18.75,62.0,2020-04-24,4,13268
27.0,79.5,2020-01-25,1,21258
6.5,54.0,2020-09-28,9,1476
26.25,72.25,2020-11-25,11,20509
25.5,51.75,2020-01-06,1,19707
11.75,77.25,2020-06-08,6,6609
20.75,46.25,2020-10-28,10,15125
9.0,87.5,2020-09-14,9,4010
23.75,48.25,2020-11-08,11,18013
22.5,56.5,2020-05-31,5,16846
13.75,55.25,2020-05-15,5,8441
6.5,94.75,2020-09-15,9,1639
29.25,48.0,2020-02-26,2,23292
16.0,70.75,2020-03-28,3,10663
27.25,80.25,2020-08-07,8,21501
21.75,75.75,2020-08-31,8,16203
24.25,85.75,2020-02-13,2,18643
23.75,93.0,2020-07-04,7,18192
9.75,68.5,2020-05-13,5,4654
14.0,94.5,2020-07-02,7,8838
16.5,64.0,2020-12-15,12,11116
17.25,104.0,2020-01-28,1,11996
6.0,75.25,2020-12-29,12,1081
18.5,89.0,2020-06-13,6,13136
8.75,97.5,2020-10-08,10,3810
23.5,92.5,2020-06-03,6,17950
22.0,96.0,2020-04-23,4,16524
28.0,77.0,2020-10-08,10,22208
23.5,47.5,2020-09-07,9,17770
14.0,74.5,2020-02-22,2,8758
29.0,55.75,2020-09-14,9,23083
15.25,98.25,2020-10-01,10,10053
13.0,59.0,2020-05-21,5,7736
27.5,58.5,2020-12-03,12,21654
14.25,59.75,2020-08-21,8,8939
6.75,83.5,2020-05-01,5,1834
16.5,79.25,2020-01-04,1,11177
24.75,101.75,2020-09-03,9,19187
9.5,69.75,2020-03-17,3,4419
16.5,61.75,2020-10-03,10,11107
8.0,47.75,2020-07-10,7,2891
22.0,45.25,2020-06-19,6,16321
16.75,67.25,2020-02-29,2,11369
13.25,100.5,2020-09-16,9,8142
10.5,76.25,2020-03-01,3,5405
19.0,98.5,2020-06-01,6,13654
21.5,51.0,2020-11-01,11,15864
28.5,50.5,2020-12-01,12,22582
15.75,95.0,2020-12-27,12,10520
9.0,51.25,2020-12-15,12,3865
25.75,48.0,2020-07-21,7,19932
20.5,69.0,2020-03-14,3,14976
22.5,100.25,2020-11-02,11,17021
7.25,86.25,2020-10-19,10,2325
12.75,50.75,2020-12-27,12,7463
24.0,95.0,2020-08-25,8,18440
25.75,95.5,2020-02-21,2,20122
15.75,93.0,2020-07-02,7,10512
25.0,99.0,2020-06-12,6,19416
26.0,59.25,2020-11-03,11,20217
14.5,103.75,2020-05-23,5,9355
27.25,64.0,2020-04-29,4,21436
12.0,93.0,2020-01-30,1,6912
10.75,79.75,2020-10-31,10,5659
22.0,91.75,2020-10-02,10,16507
20.75,82.5,2020-01-16,1,15270
8.25,83.5,2020-06-07,6,3274
25.75,81.75,2020-06-24,6,20067
9.75,91.5,2020-06-20,6,4746
25.0,89.25,2020-12-01,12,19377
5.0,53.0,2020-02-24,2,32
24.75,94.5,2020-04-21,4,19158
24.5,77.0,2020-03-07,3,18848
24.5,64.25,2020-03-30,3,18797
21.5,75.75,2020-11-27,11,15963
16.75,103.0,2020-12-09,12,11512
22.5,96.25,2020-01-17,1,17005
11.75,95.0,2020-08-18,8,6680
24.5,72.75,2020-03-25,3,18831
18.75,92.0,2020-03-11,3,13388
16.25,68.0,2020-04-16,4,10892
17.5,86.0,2020-03-11,3,12164
19.0,83.25,2020-06-27,6,13593
5.75,59.75,2020-12-29,12,779
8.25,60.75,2020-08-02,8,3183
11.0,48.5,2020-09-20,9,5774
7.75,53.25,2020-06-29,6,2673
15.75,71.0,2020-01-06,1,10424
21.5,73.5,2020-01-31,1,15954
21.25,54.75,2020-04-08,4,15639
16.75,70.0,2020-03-29,3,11380
26.25,81.25,2020-11-02,11,20545
19.0,58.75,2020-11-03,11,13495
6.75,65.25,2020-11-07,11,1761
24.0,67.0,2020-08-20,8,18328
19.25,75.25,2020-07-22,7,13801
20.75,66.75,2020-08-24,8,15207
19.0,89.0,2020-05-28,5,13616
18.75,64.5,2020-09-01,9,13278
7.25,71.0,2020-10-16,10,2264
18.75,67.75,2020-10-05,10,13291
24.75,55.75,2020-08-12,8,19003
12.5,86.0,2020-01-22,1,7364
20.0,59.0,2020-09-21,9,14456
5.75,62.75,2020-05-13,5,791
13.5,92.5,2020-09-28,9,8350
15.75,101.75,2020-07-15,7,10547
29.5,85.25,2020-11-17,11,23681
10.25,99.75,2020-05-03,5,5259
11.75,96.25,2020-12-05,12,6685
15.0,73.75,2020-11-04,11,9715
29.75,91.0,2020-04-30,4,23944
26.25,64.5,2020-06-25,6,20478
5.75,72.5,2020-07-12,7,830
10.75,77.0,2020-10-07,10,5648
25.5,102.5,2020-09-08,9,19910
6.25,95.75,2020-11-06,11,1403
26.25,74.25,2020-05-15,5,20517
12.0,84.0,2020-07-03,7,6876
27.75,57.0,2020-06-06,6,21888
12.25,93.25,2020-11-27,11,7153
15.75,78.0,2020-04-21,4,10452
21.5,76.75,2020-08-02,8,15967
8.0,90.75,2020-02-13,2,3063
18.75,82.75,2020-11-06,11,13351
17.5,49.25,2020-05-20,5,12017
24.5,62.25,2020-05-04,5,18789
29.75,55.5,2020-07-31,7,23802
21.5,89.0,2020-07-01,7,16016
15.0,47.0,2020-11-05,11,9608
15.0,57.0,2020-07-12,7,9648
15.25,80.75,2020-07-07,7,9983
25.25,86.5,2020-02-08,2,19606
13.0,75.0,2020-01-09,1,7800
9.0,96.5,2020-05-25,5,4046
13.25,100.0,2020-12-30,12,8140
5.5,52.75,2020-11-30,11,511
